Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 50V X7R","C_0603_1608Metric",48.000000,-21.000000,0.000000,top
"C2","100nF 50V X7R","C_0603_1608Metric",59.000000,-38.000000,90.000000,top
"D1","SMF5.0A","D_SOD-123F",60.000000,-13.500000,0.000000,top
"D2","B140-13-F","D_SMA",56.000000,-24.000000,0.000000,top
"D3","B5819W-7-F","D_SOD-123",58.000000,-32.000000,90.000000,top
"F1","500mA HOLD / 1A TRIP","Fuse_1812_4532Metric",62.000000,-19.500000,0.000000,top
"J1","WAVESHARE MODULE P1","PinSocket_1x10_P2.54mm_Vertical",8.570000,-20.850000,0.000000,top
"J2","WAVESHARE MODULE P2","PinSocket_1x10_P2.54mm_Vertical",31.430000,-20.850000,0.000000,top
"J3","USB-C POWER ONLY","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",50.000000,-4.800000,0.000000,top
"J4","HAPTIC 5V <=150mA","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",66.000000,-35.000000,90.000000,top
"Q1","AO3400A","SOT-23",52.000000,-34.000000,0.000000,top
"R1","5.1k 1%","R_0603_1608Metric",43.000000,-11.500000,0.000000,top
"R2","5.1k 1%","R_0603_1608Metric",49.000000,-11.500000,0.000000,top
"R3","100R 1%","R_0603_1608Metric",42.000000,-31.000000,0.000000,top
"R4","100k 1%","R_0603_1608Metric",47.000000,-35.000000,90.000000,top
